府令コード,様式コード（コード値）,様式番号,様式名,書類種別,開示区分,備考
010,010000,第一号様式,有価証券通知書,有価証券通知書,非開示,
010,010001,第一号様式,変更有価証券通知書,変更通知書（有価証券通知書）,非開示,
010,020000,第二号様式,有価証券届出書（通常方式）,有価証券届出書,開示,
010,020001,第二号様式,訂正有価証券届出書（通常方式）,訂正有価証券届出書,開示,
010,022000,第二号の二様式,有価証券届出書（組込方式）,有価証券届出書,開示,
010,022001,第二号の二様式,訂正有価証券届出書（組込方式）,訂正有価証券届出書,開示,
010,023000,第二号の三様式,有価証券届出書（参照方式）,有価証券届出書,開示,
010,023001,第二号の三様式,訂正有価証券届出書（参照方式）,訂正有価証券届出書,開示,
010,024000,第二号の四様式,有価証券届出書（新規公開時）,有価証券届出書,開示,
010,024001,第二号の四様式,訂正有価証券届出書（新規公開時）,訂正有価証券届出書,開示,
010,025000,第二号の五様式,有価証券届出書（少額募集等）,有価証券届出書,開示,
010,025001,第二号の五様式,訂正有価証券届出書（少額募集等）,訂正有価証券届出書,開示,
010,026000,第二号の六様式,有価証券届出書（組織再編成）,有価証券届出書,開示,
010,026001,第二号の六様式,訂正有価証券届出書（組織再編成）,訂正有価証券届出書,開示,
010,027000,第二号の七様式,有価証券届出書（組織再編成・上場）,有価証券届出書,開示,
010,027001,第二号の七様式,訂正有価証券届出書（組織再編成・上場）,訂正有価証券届出書,開示,
010,030000,第三号様式,有価証券報告書,有価証券報告書,開示,
010,030001,第三号様式,訂正有価証券報告書,訂正有価証券報告書,開示,
010,032000,第三号の二様式,有価証券報告書（少額募集等）,有価証券報告書,開示,
010,032001,第三号の二様式,訂正有価証券報告書（少額募集等）,訂正有価証券報告書,開示,
010,040000,第四号様式,有価証券報告書（法24条3項に基づくもの）,有価証券報告書,開示,
010,040001,第四号様式,訂正有価証券報告書（法24条3項に基づくもの）,訂正有価証券報告書,開示,
010,042000,第四号の二様式,確認書,確認書,開示,有価証券報告書、半期報告書、四半期報告書に係る確認書
010,042001,第四号の二様式,訂正確認書,訂正確認書,開示,
010,042100,第四号の二様式,確認書,確認書,開示,訂正有価証券報告書に係る確認書
010,042200,第四号の二様式,確認書,確認書,開示,訂正半期報告書に係る確認書
010,042300,第四号の二様式,確認書,確認書,開示,訂正四半期報告書に係る確認書
010,043000,第四号の三様式,四半期報告書,四半期報告書,開示,
010,043001,第四号の三様式,訂正四半期報告書,訂正四半期報告書,開示,
010,050000,第五号様式,半期報告書,半期報告書,開示,
010,050001,第五号様式,訂正半期報告書,訂正半期報告書,開示,
010,052000,第五号の二様式,半期報告書（少額募集等）,半期報告書,開示,
010,052001,第五号の二様式,訂正半期報告書（少額募集等）,訂正半期報告書,開示,
010,053000,第五号の三様式,臨時報告書,臨時報告書,開示,
010,053001,第五号の三様式,訂正臨時報告書,訂正臨時報告書,開示,
010,054000,第五号の四様式,親会社等状況報告書（内国会社）,親会社等状況報告書,開示,
010,054001,第五号の四様式,訂正親会社等状況報告書（内国会社）,訂正親会社等状況報告書,開示,
010,060000,第六号様式,有価証券通知書,有価証券通知書,非開示,
010,060001,第六号様式,変更有価証券通知書,変更通知書（有価証券通知書）,非開示,
010,070000,第七号様式,有価証券届出書（通常方式）,有価証券届出書,開示,
010,070001,第七号様式,訂正有価証券届出書（通常方式）,訂正有価証券届出書,開示,
010,072000,第七号の二様式,有価証券届出書（組込方式）,有価証券届出書,開示,
010,072001,第七号の二様式,訂正有価証券届出書（組込方式）,訂正有価証券届出書,開示,
010,073000,第七号の三様式,有価証券届出書（参照方式）,有価証券届出書,開示,
010,073001,第七号の三様式,訂正有価証券届出書（参照方式）,訂正有価証券届出書,開示,
010,074000,第七号の四様式,有価証券届出書（組織再編成）,有価証券届出書,開示,
010,074001,第七号の四様式,訂正有価証券届出書（組織再編成）,訂正有価証券届出書,開示,
010,075000,第七号の五様式,外国会社届出書,有価証券届出書,開示,
010,075001,第七号の五様式,外国会社訂正届出書,訂正有価証券届出書,開示,
